# BETA MCTIME VIRIAL1 DELTA ENERGY N1 L ACCEPTANCE ENERGYSQUARE TEMPERATURE DENSITY PRESSURE CV ENERGYERR CVERR N THERMTIME THBIN BTIME VOLUME PRERR ENERGYTAIL VIRTAIL CUTOFF U TOTENERGY DELTAIN FILENAME
0.909091 3600000.0 -0.903853027778 0.1043 -2.11028116667 5 7.76808 0.504089 4.46703952778 1.09999989 0.266666796932 0.0319752146472 0.0113660563143 0.0166486053034 6.92665034481e-05 125 7500 50 10000 468.749771019 0.000500560436614 -0.0381236347353 -0.0762398658688 3.88404 -2.1484048014 -0.498404966402 0.1043 ./data/phasediag2/test0043.out 
0.833333 3600000.0 -0.841935541667 0.1053 -1.98687738889 5 7.76808 0.530844 3.95967541667 1.20000048 0.266666796932 0.0751533893692 0.00832892263459 0.0127825730082 6.6205730281e-05 125 8600 50 10000 468.749771019 0.000375196644741 -0.0381236347353 -0.0762398658688 3.88404 -2.02500102362 -0.225000303624 0.1053 ./data/phasediag2/test0044.out 
0.769231 3600000.0 -0.772701655556 0.1063 -1.92399558333 5 7.76808 0.547101 3.71137275 1.29999961 0.266666796932 0.120282215711 0.00568861010774 0.00863450188657 3.83642767511e-05 125 7950 50 10000 468.749771019 0.000320812011299 -0.0381236347353 -0.0762398658688 3.88404 -1.96211921807 -0.0121198030684 0.1063 ./data/phasediag2/test0045.out 
0.714286 3600000.0 -0.713268675 0.1073 -1.86008822222 5 7.76808 0.562902 3.46690730556 1.39999944 0.266666796932 0.162797652627 0.00356077382093 0.00881222973496 1.49078888133e-05 125 10400 50 10000 468.749771019 0.00033835206344 -0.0381236347353 -0.0762398658688 3.88404 -1.89821185696 0.201787303043 0.1073 ./data/phasediag2/test0046.out 
0.666667 3600000.0 -0.658166880556 0.1083 -1.81304833333 5 7.76808 0.57563 3.29393505556 1.49999925 0.266666796932 0.204158100683 0.00301813481937 0.00568839416459 9.31932130672e-06 125 7550 50 10000 468.749771019 0.000219066269572 -0.0381236347353 -0.0762398658688 3.88404 -1.85117196807 0.398826906932 0.1083 ./data/phasediag2/test0047.out 
1.25 3600000.0 -1.09361346667 0.097 -3.30483075 5 7.38782 0.337997 10.9536388611 0.8 0.309999573497 -0.122957326264 0.0495821483837 0.0349022595852 0.00138636799309 125 6300 50 10000 403.226361216 0.00093731486085 -0.0515185682279 -0.103023615367 3.69391 -3.35634931823 -2.15634931823 0.097 ./data/phasediag2/test0048.out 
1.11111 3600000.0 -1.08432774167 0.098 -2.89426158333 5 7.38782 0.396986 8.40542444444 0.900000900001 0.309999573497 -0.0890785191246 0.0354003386872 0.0318745803618 0.000460125082181 125 10900 50 10000 403.226361216 0.000434019655819 -0.0515185682279 -0.103023615367 3.69391 -2.94578015156 -1.59577880156 0.098 ./data/phasediag2/test0049.out 
1.0 3600000.0 -1.04734946667 0.099 -2.57831733333 5 7.38782 0.448454 6.66979327778 1.0 0.309999573497 -0.0466155912961 0.0220730064107 0.0379335528363 0.000351210394435 125 15750 50 10000 403.226361216 0.00054751846197 -0.0515185682279 -0.103023615367 3.69391 -2.62983590156 -1.12983590156 0.099 ./data/phasediag2/test0050.out 
0.909091 3600000.0 -0.980026997222 0.1 -2.37194883333 5 7.38782 0.485689 5.64156752778 1.09999989 0.309999573497 0.0052542687683 0.012748977613 0.0172571797145 0.00011564340643 125 7300 50 10000 403.226361216 0.000496261393572 -0.0515185682279 -0.103023615367 3.69391 -2.42346740156 -0.773467566561 0.1 ./data/phasediag2/test0051.out 
0.833333 3600000.0 -0.904237316667 0.101 -2.25140463889 5 7.38782 0.508734 5.07883222222 1.20000048 0.309999573497 0.0597491776656 0.006950948753 0.0119704971311 2.97074315365e-05 125 9250 50 10000 403.226361216 0.000338990948857 -0.0515185682279 -0.103023615367 3.69391 -2.30292320712 -0.502922487117 0.101 ./data/phasediag2/test0052.out 
0.769231 3600000.0 -0.826628522222 0.102 -2.17695963889 5 7.38782 0.526309 4.74781877778 1.29999961 0.309999573497 0.114807558493 0.00512752285553 0.0101072286292 2.93659359818e-05 125 6100 50 10000 403.226361216 0.000397241841573 -0.0515185682279 -0.103023615367 3.69391 -2.22847820712 -0.278478792117 0.102 ./data/phasediag2/test0053.out 
0.714286 3600000.0 -0.758616880556 0.103 -2.12479547222 5 7.38782 0.538505 4.52260355556 1.39999944 0.309999573497 0.166891043052 0.00400396074373 0.00854659764435 1.76670032439e-05 125 8000 50 10000 403.226361216 0.000420015267641 -0.0515185682279 -0.103023615367 3.69391 -2.17631404045 -0.0763148804498 0.103 ./data/phasediag2/test0054.out 
0.666667 3600000.0 -0.685559825 0.104 -2.07926836111 5 7.38782 0.549581 4.33060608333 1.49999925 0.309999573497 0.220538597566 0.00322185469547 0.00568363044683 8.89787902578e-06 125 6450 50 10000 403.226361216 0.000356787750862 -0.0515185682279 -0.103023615367 3.69391 -2.13078692934 0.119211945662 0.104 ./data/phasediag2/test0055.out 
1.25 3600000.0 -1.16899619167 0.0927 -3.34945488889 5 7.07254 0.35145 11.24213325 0.8 0.353332654294 -0.17766432163 0.0363831207786 0.0225175099164 0.000513315895681 125 11300 50 10000 353.774264793 0.000629580198992 -0.0669255728768 -0.133828326451 3.53627 -3.41638046177 -2.21638046177 0.0927 ./data/phasediag2/test0056.out 
1.11111 3600000.0 -1.15354659722 0.0937 -3.00619652778 5 7.07254 0.402567 9.06003144444 0.900000900001 0.353332654294 -0.136871891988 0.028165228634 0.0236110194447 0.000189388518343 125 14550 50 10000 353.774264793 0.00067419953331 -0.0669255728768 -0.133828326451 3.53627 -3.07312210065 -1.72312075065 0.0937 ./data/phasediag2/test0057.out 
1.0 3600000.0 -1.125532125 0.0947 -2.74858280556 5 7.07254 0.446586 7.57107011111 1.0 0.353332654294 -0.0916405167299 0.0163626721155 0.0207341492173 0.000102277001434 125 7950 50 10000 353.774264793 0.00056647868963 -0.0669255728768 -0.133828326451 3.53627 -2.81550837843 -1.31550837843 0.0947 ./data/phasediag2/test0058.out 
0.909091 3600000.0 -1.05143364444 0.0957 -2.58756630556 5 7.07254 0.47604 6.70743991667 1.09999989 0.353332654294 -0.0301258773533 0.00986820942839 0.0172652104462 3.33270025833e-05 125 18900 50 10000 353.774264793 0.000532494498638 -0.0669255728768 -0.133828326451 3.53627 -2.65449187843 -1.00449204343 0.0957 ./data/phasediag2/test0059.out 
0.833333 3600000.0 -0.987451216667 0.0967 -2.48946816667 5 7.07254 0.496561 6.20646966667 1.20000048 0.353332654294 0.0278146775772 0.00626243514281 nan nan 125 5550 50 10000 353.774264793 nan -0.0669255728768 -0.133828326451 3.53627 -2.55639373954 -0.756393019543 0.0967 ./data/phasediag2/test0060.out 
0.769231 3600000.0 -0.874025780556 0.0977 -2.42825597222 5 7.07254 0.50861 5.90339572222 1.29999961 0.353332654294 0.103224546013 0.00412346731984 0.00624271941359 1.12590164954e-05 125 13100 50 10000 353.774264793 0.000496818365471 -0.0669255728768 -0.133828326451 3.53627 -2.4951815451 -0.545182130099 0.0977 ./data/phasediag2/test0061.out 
0.714286 3600000.0 -0.793097913889 0.0987 -2.37667266667 5 7.07254 0.520277 5.65534044444 1.39999944 0.353332654294 0.167152209311 0.00345279866224 0.00548339950876 8.42440614958e-06 125 9750 50 10000 353.774264793 0.000543538122115 -0.0669255728768 -0.133828326451 3.53627 -2.44359823954 -0.343599079543 0.0987 ./data/phasediag2/test0062.out 
